internal_client_id,product_id,product_name,product_ean,category,sub_category,store_name,store_type,city_name,stock_quantity
310mee980,541127, Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,,Baby Care,Hygiene,Kolkata K4 - Feeder Warehouse,RETAIL_STORE,Kolkata,120
310mee980,445017, Gentle Bubble Bath Baby Wash (With Fruit Extracts)(Bottle) 400 ml - Rs 349,,Baby Care,Bathing Needs,Dasna D3 - Feeder Warehouse,RETAIL_STORE,Dasna,61
310mee980,549842, Baby Pacifier Soft Silicone Nipple (Yellow & Green) 1 pack (2 pieces) - Rs 249,,Baby Care,Feeding Essentials,Mumbai M11 - Feeder Warehouse,WAREHOUSE,Mumbai,36
310mee980,541127, Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,,Baby Care,Hygiene,Dehradun - Feeder Warehouse,RETAIL_STORE,Dehradun,68
310mee980,497414, Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,,Baby Care,Baby Wipes,Bengaluru B3 - Feeder Warehouse,WAREHOUSE,Bengaluru,84
310mee980,561990," Baby Mosquito Net For Cradles, Cots, Strollers 1 unit - Rs 499",,Cleaning Essentials,Mosquito Repellents,Dehradun - Feeder Warehouse,RETAIL_STORE,Dehradun,2
310mee980,477342, Stay Warm Steel Bowl with Anti-Skid Base (Blue)(Box) 1 unit - Rs 599,,Baby Care,Feeding Essentials,Mumbai M11 - Feeder Warehouse,WAREHOUSE,Mumbai,71
310mee980,540002, Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,,Baby Care,Hygiene,Super Store Dasna 2 - Warehouse,WAREHOUSE,Dasna,130
310mee980,495696, Baby Bottle & Nipple Brush(Box) 1 piece - Rs 229,,Baby Care,Feeding Essentials,Farukhnagar F2 - Feeder Warehouse,WAREHOUSE,Farukhnagar,12
310mee980,2054-06-22, Nourishing Baby Massage Oil ((Newborn Friendly))(Bottle) 200 ml - 229,,Baby Care,Skin & Hair Care,Bhopal B1 - Feeder Warehouse,WAREHOUSE,Bhopal,0
310mee980,497414, Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,,Baby Care,Baby Wipes,Super Store Dasna 2 - Warehouse,WAREHOUSE,Dasna,19
310mee980,549841," Microfibre Baby Bath Towel (Multicolour, 0 - 3 years) 1 unit - Rs 599",,Baby Care,Baby Accessories,Super Store Ahmedabad - Warehouse,RETAIL_STORE,Ahmedabad,0
310mee980,562333," 2 in 1 Baby Feeding Cup with Spout and Straw (250 ml, Blue) 1 unit - Rs 329",,Baby Care,Feeding Essentials,Super Store Jaipur J2 - Warehouse,RETAIL_STORE,Jaipur,0
310mee980,561099, Soft Silicone Teether for Babies (Multi-Textured) (Orange) 1.0 unit - Rs 249.0,,Baby Care,Feeding Essentials,Varanasi V1 - Feeder Warehouse,WAREHOUSE,Varanasi,10
310mee980,563117, 100% Muslin Cotton Baby Swaddle Wrap Set (Multicolour) 3.0 piece - Rs 999.0,,Baby Care,Nursing,Mumbai M11 - Feeder Warehouse,WAREHOUSE,Mumbai,11
310mee980,477349, Nail Clipper(Pack) 1 unit - Rs 229,,Baby Care,Hygiene,Farukhnagar F2 - Feeder Warehouse,RETAIL_STORE,Farukhnagar,137
310mee980,2054-06-22, Nourishing Baby Massage Oil ((Newborn Friendly))(Bottle) 200 ml - 229,,Baby Care,Skin & Hair Care,Patna P1 - Feeder Warehouse,RETAIL_STORE,Patna,20
310mee980,445017, Gentle Bubble Bath Baby Wash (With Fruit Extracts)(Bottle) 400 ml - Rs 349,,Baby Care,Bathing Needs,Visakhapatnam V1 - Feeder Warehouse,RETAIL_STORE,Visakhapatnam,37
310mee980,549842, Baby Pacifier Soft Silicone Nipple (Yellow & Green) 1 pack (2 pieces) - Rs 249,,Baby Care,Feeding Essentials,Rajpura R2 - Feeder Warehouse,RETAIL_STORE,Rajpura,0
310mee980,445285, Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,,Baby Care,Baby Wipes,Kundli - Feeder Warehouse,WAREHOUSE,Kundli,126
310mee980,445285, Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,,Baby Care,Baby Wipes,Nagpur N1 - Feeder Warehouse,RETAIL_STORE,Nagpur,105
310mee980,562333," 2 in 1 Baby Feeding Cup with Spout and Straw (250 ml, Blue) 1 unit - Rs 329",,Baby Care,Feeding Essentials,Mumbai M9 Ecom - Feeder Warehouse,WAREHOUSE,Mumbai,0
310mee980,541127, Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,,Baby Care,Hygiene,Super Store Dasna 2 - Warehouse,WAREHOUSE,Dasna,23
310mee980,495692, Mild Baby Laundry Detergent(Bottle) 1.5 l - Rs 649,,Baby Care,Hygiene,Farukhnagar F2 - Feeder Warehouse,WAREHOUSE,Farukhnagar,45
310mee980,445285, Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,,Baby Care,Baby Wipes,Chennai C4 - Feeder Warehouse,WAREHOUSE,Chennai,0
310mee980,563117, 100% Muslin Cotton Baby Swaddle Wrap Set (Multicolour) 3.0 piece - Rs 999.0,,Baby Care,Nursing,Jaipur J3 - Feeder Warehouse,WAREHOUSE,Jaipur,4
310mee980,549841," Microfibre Baby Bath Towel (Multicolour, 0 - 3 years) 1 unit - Rs 599",,Baby Care,Baby Accessories,Mumbai M11 - Feeder Warehouse,WAREHOUSE,Mumbai,52
310mee980,497414, Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,,Baby Care,Baby Wipes,Chennai C5 - Feeder Warehouse,RETAIL_STORE,Chennai,45
310mee980,2054-06-22, Nourishing Baby Massage Oil ((Newborn Friendly))(Bottle) 200 ml - 229,,Baby Care,Skin & Hair Care,Ranchi R1 - Feeder Warehouse,RETAIL_STORE,Ranchi,18
310mee980,445286, Fluoride Free Baby Toothpaste (Strawberry Flavor)(Box) 70 g - Rs 149,,Baby Care,Oral & Nasal Care,Super Store Bengaluru F&V CPC - Warehouse,RETAIL_STORE,Bengaluru,0
310mee980,540002, Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,,Baby Care,Hygiene,Farukhnagar - SR Feeder Warehouse,RETAIL_STORE,Farukhnagar,35
310mee980,445395, Mild Baby Laundry Detergent Refill(Pack) 1 l - Rs 449,,Baby Care,Hygiene,Bhubaneswar B1 - Feeder Warehouse,WAREHOUSE,Bhubaneswar,0
310mee980,563117, 100% Muslin Cotton Baby Swaddle Wrap Set (Multicolour) 3.0 piece - Rs 999.0,,Baby Care,Nursing,Ranchi R1 - Feeder Warehouse,RETAIL_STORE,Ranchi,2
310mee980,563117, 100% Muslin Cotton Baby Swaddle Wrap Set (Multicolour) 3.0 piece - Rs 999.0,,Baby Care,Nursing,Ranchi R1 - Feeder Warehouse,WAREHOUSE,Ranchi,0
310mee980,477420," Best Friends Print Baby Bib (White, Yellow)(Pack) 1 unit - Rs 199",,Baby Care,Feeding Essentials,Super Store Hyderabad H2 - Warehouse,RETAIL_STORE,Hyderabad,1
310mee980,561990," Baby Mosquito Net For Cradles, Cots, Strollers 1 unit - Rs 499",,Cleaning Essentials,Mosquito Repellents,Visakhapatnam V1 - Feeder Warehouse,RETAIL_STORE,Visakhapatnam,1
310mee980,549495, Baby Pacifier Soft Silicone Nipple (Red & Blue) 1 pack (2 pieces) - Rs 229,,Baby Care,Feeding Essentials,Bhopal B1 - Feeder Warehouse,WAREHOUSE,Bhopal,15
310mee980,2054-06-22, Nourishing Baby Massage Oil ((Newborn Friendly))(Bottle) 200 ml - 229,,Baby Care,Skin & Hair Care,Nagpur N1 - Feeder Warehouse,WAREHOUSE,Nagpur,16
310mee980,562333," 2 in 1 Baby Feeding Cup with Spout and Straw (250 ml, Blue) 1 unit - Rs 329",,Baby Care,Feeding Essentials,Chennai C4 - Feeder Warehouse,RETAIL_STORE,Chennai,0
310mee980,445284, Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,,Baby Care,Baby Wipes,Dasna D3 - Feeder Warehouse,WAREHOUSE,Dasna,216
310mee980,477342, Stay Warm Steel Bowl with Anti-Skid Base (Blue)(Box) 1 unit - Rs 599,,Baby Care,Feeding Essentials,Hyderabad H3 - Feeder Warehouse,RETAIL_STORE,Hyderabad,47
310mee980,477342, Stay Warm Steel Bowl with Anti-Skid Base (Blue)(Box) 1 unit - Rs 599,,Baby Care,Feeding Essentials,Hyderabad H3 - Feeder Warehouse,WAREHOUSE,Hyderabad,15
310mee980,549495, Baby Pacifier Soft Silicone Nipple (Red & Blue) 1 pack (2 pieces) - Rs 229,,Baby Care,Feeding Essentials,Ahmedabad A2 - Feeder Warehouse,WAREHOUSE,Ahmedabad,5
310mee980,561099, Soft Silicone Teether for Babies (Multi-Textured) (Orange) 1.0 unit - Rs 249.0,,Baby Care,Feeding Essentials,Super Store Hyderabad H2 - Warehouse,WAREHOUSE,Hyderabad,0
310mee980,495692, Mild Baby Laundry Detergent(Bottle) 1.5 l - Rs 649,,Baby Care,Hygiene,Visakhapatnam V1 - Feeder Warehouse,RETAIL_STORE,Visakhapatnam,55
310mee980,561990," Baby Mosquito Net For Cradles, Cots, Strollers 1 unit - Rs 499",,Cleaning Essentials,Mosquito Repellents,Super Store Ahmedabad - Warehouse,RETAIL_STORE,Ahmedabad,0
310mee980,541127, Anti-Bacterial Baby Liquid Cleanser 300 ml - Rs 279,,Baby Care,Hygiene,Ludhiana - Feeder Warehouse,WAREHOUSE,Ludhiana,0
310mee980,445285, Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,,Baby Care,Baby Wipes,Dasna D3 - Feeder Warehouse,RETAIL_STORE,Dasna,83
310mee980,561099, Soft Silicone Teether for Babies (Multi-Textured) (Orange) 1.0 unit - Rs 249.0,,Baby Care,Feeding Essentials,Chennai C5 - Feeder Warehouse,RETAIL_STORE,Chennai,60
310mee980,2054-06-22, Nourishing Baby Massage Oil ((Newborn Friendly))(Bottle) 200 ml - 229,,Baby Care,Skin & Hair Care,Bhubaneswar B1 - Feeder Warehouse,RETAIL_STORE,Bhubaneswar,10
310mee980,549841," Microfibre Baby Bath Towel (Multicolour, 0 - 3 years) 1 unit - Rs 599",,Baby Care,Baby Accessories,Bhopal B1 - Feeder Warehouse,WAREHOUSE,Bhopal,14
310mee980,477345, Tooth & Gum Cleaning Finger Baby Toothbrush(Pack) 1 unit - Rs 99,,Baby Care,Oral & Nasal Care,Super Store Ahmedabad - Warehouse,WAREHOUSE,Ahmedabad,0
310mee980,445017, Gentle Bubble Bath Baby Wash (With Fruit Extracts)(Bottle) 400 ml - Rs 349,,Baby Care,Bathing Needs,Super Store Ahmedabad - Warehouse,WAREHOUSE,Ahmedabad,0
310mee980,563117, 100% Muslin Cotton Baby Swaddle Wrap Set (Multicolour) 3.0 piece - Rs 999.0,,Baby Care,Nursing,Kundli - Feeder Warehouse,RETAIL_STORE,Kundli,15
310mee980,561099, Soft Silicone Teether for Babies (Multi-Textured) (Orange) 1.0 unit - Rs 249.0,,Baby Care,Feeding Essentials,Chennai C4 - Feeder Warehouse,RETAIL_STORE,Chennai,0
310mee980,540002, Anti-Bacterial Baby Liquid Cleanser (Refill) 500 ml - Rs 349,,Baby Care,Hygiene,Super Store Ahmedabad - Warehouse,RETAIL_STORE,Ahmedabad,0
310mee980,539696, Disposable Breast Pad (Ultra Thin & Super Absorbent) 1 pack 48 (pieces) - Rs 429,,Baby Care,Mom Care Needs,Mumbai M10 - Feeder Warehouse,WAREHOUSE,Mumbai,14
310mee980,445284, Caring Baby Baby Wipes with Lid - Buy 2 Get 1 Free(Packet) 3 packs - Rs 327,,Baby Care,Baby Wipes,Coimbatore C1 - Feeder Warehouse,RETAIL_STORE,Coimbatore,9
310mee980,549495, Baby Pacifier Soft Silicone Nipple (Red & Blue) 1 pack (2 pieces) - Rs 229,,Baby Care,Feeding Essentials,Ludhiana - Feeder Warehouse,RETAIL_STORE,Ludhiana,0
310mee980,562333," 2 in 1 Baby Feeding Cup with Spout and Straw (250 ml, Blue) 1 unit - Rs 329",,Baby Care,Feeding Essentials,Bengaluru B3 - Feeder Warehouse,WAREHOUSE,Bengaluru,0
310mee980,561990," Baby Mosquito Net For Cradles, Cots, Strollers 1 unit - Rs 499",,Cleaning Essentials,Mosquito Repellents,Super Store Dasna 2 - Warehouse,WAREHOUSE,Dasna,0
310mee980,495692, Mild Baby Laundry Detergent(Bottle) 1.5 l - Rs 649,,Baby Care,Hygiene,Ranchi R1 - Feeder Warehouse,RETAIL_STORE,Ranchi,25
310mee980,497414, Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,,Baby Care,Baby Wipes,Varanasi V1 - Feeder Warehouse,WAREHOUSE,Varanasi,4
310mee980,497414, Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,,Baby Care,Baby Wipes,Goa G2 - Feeder Warehouse,WAREHOUSE,Goa,4
310mee980,561990," Baby Mosquito Net For Cradles, Cots, Strollers 1 unit - Rs 499",,Cleaning Essentials,Mosquito Repellents,Goa - Feeder Warehouse,RETAIL_STORE,Goa,0
310mee980,477347, Baby Fruit Nibbler / Food Feeder (Green)(Pack) 1 unit - Rs 229,,Baby Care,Feeding Essentials,Ahmedabad A2 - Feeder Warehouse,RETAIL_STORE,Ahmedabad,3
310mee980,445285, Caring Baby Wipes with Aloe Vera - Pack of 3(Packet) 216 piece - Rs 297.0,,Baby Care,Baby Wipes,Jaipur J3 - Feeder Warehouse,WAREHOUSE,Jaipur,164
310mee980,563117, 100% Muslin Cotton Baby Swaddle Wrap Set (Multicolour) 3.0 piece - Rs 999.0,,Baby Care,Nursing,Indore - Feeder Warehouse,WAREHOUSE,Indore,0
310mee980,445395, Mild Baby Laundry Detergent Refill(Pack) 1 l - Rs 449,,Baby Care,Hygiene,Super Store Lucknow L4 - Warehouse,WAREHOUSE,Lucknow,2
310mee980,561099, Soft Silicone Teether for Babies (Multi-Textured) (Orange) 1.0 unit - Rs 249.0,,Baby Care,Feeding Essentials,Rajpura R2 - Feeder Warehouse,RETAIL_STORE,Rajpura,0
310mee980,445395, Mild Baby Laundry Detergent Refill(Pack) 1 l - Rs 449,,Baby Care,Hygiene,Kolkata K5 - Feeder Warehouse,RETAIL_STORE,Kolkata,7
310mee980,497414, Gentle Wet Baby Wipes with Aloe Vera - Pack of 5(Packet) 5 piece - Rs 495.0,,Baby Care,Baby Wipes,Rajpura R2 - Feeder Warehouse,WAREHOUSE,Rajpura,28
310mee980,477349, Nail Clipper(Pack) 1 unit - Rs 229,,Baby Care,Hygiene,Ranchi R1 - Feeder Warehouse,WAREHOUSE,Ranchi,17
